No,Nama Perusahaan,Detail,Jenis Barang,Wilayah Pemasaran
71,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,"Merek Barang :KRESLON 480 EC, METSUL 24 WP, VULGAR 865 SL, VIARON 500 SC, VIARON 80 WP, KRESNATOP 500 SC , BARCA 150 SLStatus :Distributor",Herbisida,PT PERKEBUNAN NUSANTARA  (PTPN) GROUP
72,DIAN CITRA UTAMAPerseroan Terbatas (PT)Email :dcu.admin@dcubpn.com,Merek Barang :PeppersStatus :Distributor Tunggal,Cable Glands & Its Accessories,"PT Pertamina  Hulu  Mahakam-Balikpapan,  PT  Pertamina  Hulu  Kalimantan  Timur-Balikpapan,  PT  Pertamina  Hulu  Sanga Sanga-Balikpapan dan PT Pupuk Kalimantan Timur-Bontang"
73,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,"Merek Barang :BIO UP 490 SL, KON UP 480 SL, BASMIGUL 490 SL, SIDRA UP 490 SLStatus :Distributor",Herbisida Glifosat,PT PERKEBUNAN NUSANTARA  (PTPN) GROUP
74,KITA HOKKIPerseroan Terbatas (PT)Email :usep.kitahokki@cbn.net.id,Merek Barang :DresserStatus :Distributor,"1. - C&I METERING : C&l Diaphragm Gas Meters G10/G100, Rotary Piston Meters DELTA, Turbine Meters FLUXI/TZ, Quantometers MZ And QD, Semua Aksesoris Dan Opsi Yang Tersedia. 2. - Gas Pressure Regulation : SERus, R133/R233, RR 16, RB1700, RB 2000, RB3200, RB 4000, RB 4600, RB 4700, SRV 801/803/811, Semua Aksesoris Dan Opsi Yang Tersedia. 3.Gas Volume Corrector : Corus EVO, Semua Aksesoris Dan Opsi Yang Tersedia. 4. - Spare Part. 5. - Software.",Indonesia
75,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,"Merek Barang :MEGAZEB 80WP, CONASOL 50 SC, SCORPIO 250EC, KRESNACOL70 WP, PARAGON 325 SC, KRESNOID 60 WP, KRESNAKUM 0.005BBStatus :Distributor",PESTISIDA,PT PERKEBUNAN NUSANTARA (PTPN) GROUP
76,LAB SISTEMATIKA INDONESIAPerseroan Terbatas (PT)Email :sales@labsystematic.com,Merek Barang :RIGAKUStatus :Distributor Tunggal,"PDX/XRD Products, WDX Products, TAZ Products, XIM Products",Seluruh WIlayah Indonesia
77,OSA MEGAH INDONESIAPerseroan Terbatas (PT)Email :hrd.osaii@osa.co.id,Merek Barang :Consolidated ; MasoneilanStatus :Distributor,CONTROL VALVE; SAFETY VALVE; REGULATOR,ALL INDONESIA EXCEPT NUCLEAR
78,PANORAMA GRAHA TEKNOLOGIPerseroan Terbatas (PT)Email :sales@panorama.co.id,Merek Barang :CNTech.Status :Agen,Handheld ILS/VOR & DME Signal Analyzer (HIS-100) ; ILS/VOR Signal Analyzer for Drone (IAD) ; Portable Audio Signal (90/150Hz) Analyzer (PAA) ; Portable DME Signal Analyzer (PDA),Indonesia
79,MITRA ATLAS NUSANTARAPerseroan Terbatas (PT)Email :support@manusantara.com,Merek Barang :ATLAS COPCOStatus :Agen,"Service / Maintenance for : Portable Air Compressors, Industrial & Onsite Generators, Light Towers, Dewatering & Wellpoint Pumps, Handheld Tools",indonesia
80,MULTIINTEGRAPerseroan Terbatas (PT)Email :info@multiintegra.co.id,Merek Barang :CNS SystemsStatus :Distributor,AIS Base Stations -VDI 6000/FASS & AIS Base Stations - VDI 6000/FAS Advanced,Indonesia
81,WASKITA NIAGAPRIMAPerseroan Terbatas (PT)Email :sales.div@wasprima.co.id,Merek Barang :ANDALA VALVOStatus :Distributor Tunggal,"API 6D-BALL VALVE-FLOATING, API 6D-BALL VALVE-TRUNNION, DBB-TWIN BALLS-FLOATING, DBB-TWIN BALLS-TRUNNION, API 6A-BALL VALVE-TRUNNION, API 6A-DBB TWIN BALLS-FLOATING,  API 6A-SLAB GATE, API 6A-EXPANDING GATE, API 6A-POSITIVE CHOKE, API 6A-ADJUSTABLE CHOKE, API 6A-CASING/TUBING HEAD,TEES & CROSSES,MANDREL TYPE HANGER,CROSSOVER/TOP CONNECTOR ADAPTOR/SPACER SPOOL, API 6A-WELLHEAD EQUIPMENT & X-TREE FULLY ASSEMBLY",Indonesia
82,MARGA MANDIRI KENCANAPerseroan Terbatas (PT)Email :lixincentrifuge@gmail.com,Merek Barang :LIXIN SEPARATOR dan Lixin DecanterStatus :Distributor Tunggal,Separator type LX - 711 – JJ; LX - 454 - JJ decanter,Indonesia
83,MULTIINTEGRAPerseroan Terbatas (PT)Email :info@multiintegra.co.id,Merek Barang :CNS SystemsStatus :Distributor,AIS Base Stations -VDI 6000/FASS & AIS Base Stations - VDI 6000/FAS Advanced,Indonesia
84,NUSANTARA MEDIA INFORMATIKAPerseroan Terbatas (PT)Email :nusantara.informatika@gmail.com,Merek Barang :Leica Geosystems AGStatus :Distributor,"AUTO LEVEL,  THEODOLITE,  TOTAL STATION,  GPS AND TOOLS","Pertambangan, Proyek lnfrastruktur dan Konstruksi Nasional di Indonesia"
85,BHINNEKA BAJANASPerseroan Terbatas (PT)Email :import_bhinnekabajanas@yahoo.com,Merek Barang :BOHLERStatus :Distributor Tunggal,"1. TOOL STEELS (FOR HOT WORK, COLD WORK AND PLASTIC MOULDING APPLICATIONS), 2. HIGH SPEED STEELS, 3. SPECIAL MATERIALS , 4. SEMIMANUFACTURED MATERIAL, 5. LONG PRODUCTS OF ALL SHAPES AND FINISHES INCLUDING MACHINED BARS AND BLOCKS, 6. WIRE, ROLLED OR DRAWN.",SELURUH INDONESIA
86,TRANSAVIA OTOMASI PRATAMAPerseroan Terbatas (PT)Email :top.ga@transaviaotomasi.com,Merek Barang :Rockwell AutomationStatus :Agen,Service and Maintenance for Allen Bradley and Rockwell Software Products,Indonesia
87,HIGH VOLT TECHNOLOGYPerseroan Terbatas (PT)Email :hendra.saragih@highvolt-technology.com,Merek Barang :HIGHVOLTStatus :Agen Tunggal,"AC Voltage Test Systems, DC Voltage Test Systems, Impulse Voltage Test Systems, Impulse Current Measuring Systems, Module System, On-site Test Systems, Voltage and Current Measuring Systems, PD Measuring System, Auxiliary Test and Measuring Components,  Test Fields and Shielded Rooms",Indonesia
88,POWERTEK INDO ASIAPerseroan Terbatas (PT)Email :sales.support@powertek-indoasia.com,Merek Barang :DANFOSSStatus :Distributor Tunggal,"Frequency Converter (PL09) : VACON NXP Series, VACON NXP liquid Cooled, VACON NXC, VACON 100 Industrial, VACON 100 X, VACON 1000 Medium Voltage Drives, Suku Cadang dan aksesories Vacon, Micro Drives FC51, VLT FC100/200/300, Suku cadang dan aksesories VLT, Soft-starter (PL09) : Seri MCD200, seri MCD600;",Indonesia
89,PUTRANATA ADI MANDIRIPerseroan Terbatas (PT)Email :alfi.putranata@gmail.com,Merek Barang :Allen-Bradley dan FactoryTalkStatus :Agen,"Allen-Bradley : 1.   Control -     Programmable Automation Controllers -     Input/Output Modules -     Condition Monitoring -     Compute Modules -     Motor Control -     Motion Control -     Safety Components -     Smart Devices    2.   Networks -     Industrial Switches -     Network Protection -     Communication Modules -     Connectivity Enablers    3.   Visualization -     Operator Interface Terminals -     Compute and Connectivity    4.   Programmable Automation Controllers -     CompactLogix 5380 Controllers -     CompactLogix 5370 Controllers -     Micro800 Controllers -     ControlLogix 10 Slots Chassis -     ControlLogix 10 Slot Chassis -     ControlLogix 13 Slots Chassis -     ControlLogix 17 Slots Chassis -     ControlLogix 4 Slots Chassis -     ControlLogix 4 Slot Chassis  -     ControlLogix 4 Slots XT Chassis -      ControlLogix 5 Slots XT Upper Chassis -     ControlLogix 7 Slots Chassis -     ControlLogix 7 Slots XT Chassis -     ControlLogix 7 Slots XT Upper Chassis -     ControlLogix FlexLogix Battery -     ControlLogix L6X Ser B ONLY Battery Assy -     ControlLogix Battery Module -     ControlLogix; Config Flowmeter Module -     ControlLogix CNet 1 Port Comms Module -     ControlLogix Communication Module -     ControlLogix Communication Module -      ControlLogix Temp ControlNet Module -     ControlLogix Communication Module -     ControlLogix Communication Module -     ControlLogix Communication Module -     ControlLogix Communication Module -     ControlLogix DH485 Communication Module -     ControlLogix DH Plus/ RIO Comms Module -     ControlLogix XT Module -     ControlLogix DeviceNet Comms Module -     ControlLogix Enet/ IP Fiber Optic Module -     ControlLogix PRP EtherNet/ IP Module -     ControlLogix ENET/ IP 2 Port Module -     ControlLogix ENet/ IP 1 Port Comms Module -     ControlLogix ENET/ IP MODULE - TP, X- ENVTA -     ControlLogix Ethernet Motion Module -     ControlLogix Enet/ IP Comms Module -     ControlLogix Energy Storage Module -     ControlLogix Energy Storage Module -     ControlLogix Energy Storage Module -     ControlLogix Rack -     ControlLogix High Speed Counter Module -     ControlLogix; Hydraulic Servo Module -     ControlLogix 16 Pt D/ I 120V AC Module -     ControlLogix Input Module -     ControlLogix 16 Point Digital Input -     ControlLogix 16 Point Digital Input -     ControlLogix 32 Pt D/ I 120V AC Module  -     ControlLogix 8 Point D/ I Module -     ControlLogix 16 Pt 12/24V DC D/ IModule -     ControlLogix 16 Point D/ I Module -     ControlLogix Input Module -     ControlLogix 10 Slots Chassis -     ControlLogix 13 Slots Chassis -     ControlLogix 17 Slots Chassis -     ControlLogix 4 Slots Chassis -     ControlLogix 4 Slots XT Chassis  ; FactoryTalk : Simulation and Emulation Software Arena® Simulation Software Emulate3D Digital Twin Software  Visualization Software FactoryTalk® Logix Echo Software FactoryTalk® Optix Software FactoryTalk® View Software FactoryTalk® Vault Software FactoryTalk® Remote Access Solution ThinManager® Thin Client Management Software Studio 5000 View Designer®  Industrial Communications Software FactoryTalk® Linx Software FactoryTalk® Remote Access Solution FactoryTalk® Linx Gateway Software FactoryTalk® Policy Manager  Data and Analytics Software FactoryTalk® Analytics Software FactoryTalk® AssetCentre Software FactoryTalk® DataMosaix Software FactoryTalk® Historian Software FactoryTalk® Optix Software FactoryTalk® Transaction Manager Software FactoryTalk® Analytics Pavilion8® Software FactoryTalk® PharmaSuite® Software FactoryTalk® ProductionCentre® Software  Process Software PlantPAx® System Software FactoryTalk® Batch Software FactoryTalk® Analytics Pavilion8® Software",REPUBLIK INDONESIA
90,ADVANCED TECHNOLOGY SOLUTIONPerseroan Terbatas (PT)Email :sales.admin@atsindo.com,Merek Barang :KONGSBERGStatus :Agen Tunggal,"Software Products : The SiteCom Suite Of Drilling Software, Leda Flow Flow Assurance Software, K-Spice Simulation Software.",INDONESIA
91,MULTI INOVASI TEKNOLOGIPerseroan Terbatas (PT)Email :info@multiinovasiteknologi.com,Merek Barang :RAYTHINKStatus :Distributor,Seluruh lini produk industrial,Indonesia
92,REJEKI INDO AGROTECPerseroan Terbatas (PT)Email :ptria@ptria.com,Merek Barang :AMCOTHENE 75 SP (Bahan aktif: Asefat 75%)Status :Distributor,Insektisida,Seluruh Wilayah Indonesia
93,METRON INTERCONPerseroan Terbatas (PT)Email :jakarta@metronintercon.com,Merek Barang :HaulotteStatus :Distributor,"Electric Scissor, Diesel Scissor, Electric Articulated, Diesel Articulated, Telescopic Boom, Masts, Push Around, Low Access",Indonesia
94,ANDALAN PENGERUKAN INDONESIAPerseroan Terbatas (PT)Email :lusi@pengerukan.com,Merek Barang :UltraTrexStatus :Distributor,"Amphibious Undercarriage, Amphibious Excavator, Weed Harvester, Long Reach Arm, Dredger",Indonesia
95,LEINTEC SOLUSI INDONESIAPerseroan Terbatas (PT)Email :erry@leintecsolusiindonesia.com,Merek Barang :CPIStatus :Agen Tunggal,CPI  Synthetic Lubricant Oils  & Solest  Refrigerant  Lubricant,seluruh Indonesia
96,INSTRUMINDO PRIMA SENTOSAPerseroan Terbatas (PT)Email :instrumindo@instrumindo.co.id,Merek Barang :Parker HannifinStatus :Agen Tunggal,INSTRUMENTATION CORE (EXCLUDE REFRIGERATION PRODUCT),1. Medco Group; 2. PT. Pertamina Hulu Energi Subholding Upstream; 3. PT. Pertamina (Persero); 4. PT. Kilang Pertamina Internasional; 5. ENI Muara Bakau B.V. Medco Group dan Pertamina Hulu Energi di seluruh wilayah Indonesia.
97,DANAN WINGUS SAKTIPerseroan Terbatas (PT)Email :sales@ptdws.co.id,Merek Barang :William Milton RoyStatus :Distributor Tunggal,"William Milton Roy Products Range: V Dual Seal Plunger, W High Flow - High Pressure Plunger, Oscillamatic Pneumatic Controllers, WILROY, CLD Low-Pressure Diaphragm, WFS6704 Micro Flow Switch, William Solar Chemical Injection Pump ; Linc Pumps, Level Switch and accessories",Wilayah seluruh Negara Republik Indonesia
98,MULIA SOLUSINDOPerseroan Terbatas (PT)Email :info@muliasolusindo.com,Merek Barang :VOITHStatus :Distributor,"Gear Variable Speed Drive (GVSD), Turbo Gear (TG), Hydrodynamic Coupling (HC): S Coupling, Coupling Technology (CT) : SafeSet and HiFlex, and Spare Parts.","Indonesia for Power, Oil and Gas Industry Sector: Pertamina RU V Balikpapan; Badak LNG; PLTU Kaltim Teluk Kalimantan; PLN Mahakam; PT Daya Kaltim Mandiri; Pertamina RU VI Balongan; Pertamina RU IV Cilacap; Pertamina RU III Plaju; PT Kartanegara Energi Persada and for Fertilizer Petrochemical sector: PT Pupuk Kalimantan Timur dan PT Kaltim Methanol Industri"
99,BATARA CEMERLANG INDONESIAPerseroan Terbatas (PT)Email :bataracemerlang@gmail.com,Merek Barang :DJTStatus :Distributor,Alat Peraga Pendidikan,Indonesia
100,GAYA MAKMUR TRACTORSPerseroan Terbatas (PT)Email :import@gmtractors.net,"Merek Barang :WIRTGEN, VOGELE, HAMM, KLEEMANN, BENNINGHOVENStatus :Distributor Tunggal","WIRTGEN : Cold Milling Machines, Soil Stabilizers, Cold Recyclers, Slipform Pavers, Surface Miners, Streumaster Machines; VOGELE : Tracked Pavers, Wheeled Pavers, Pavers with Spray Jet Module, Slope Pavers, Paver for Binder Course, Mobile Feeders, Screeds; HAMM : Compactors (Single Drums), Tandem Rollers, Static Rollers, Pneumatic Tyre Rollers. KLEEMANN : Mobile Jaw Crushers, Mobile Impact Crushers, Mobile Screens, Machine Components (Crushers,screens,feeders etc); BENNINGHOVEN : Asphalt Mixing Plants, Mixed Material Storage Silos, Additive System, Bitumen Storage Systems, Bitumen Modification Plants, Asphalt Recycling Plant, Asphalt Recycling Granulators, Mastic Asphalt Plants, Cold Asphalt Mixing Plants, Sand Drying Plants, Steel Constructions, Asphalt Components like Process Control Systems, Burners, Filters, etc; CIBER : Hot Mix Asphalt Plants; Spare parts and accessories",INDONESIA
101,KILAT WAHANA JENGGALAPerseroan Terbatas (PT)Email :info@kwj.co.id,Merek Barang :AltecStatus :Distributor,- Aerial ( Unmounted) - Aerial Vehicle (Mounted) - Digger Derrick ( Unmounted ) - Digger Derrick Vehicle ( Mounted ) - Telescopic Crane ( Unmounted ) - Telescopic Crane Vehicle ( Mounted ).,Indonesia
102,ENERGY SARANA SEJAHTERAPerseroan Terbatas (PT)Email :energysejahtera@gmail.com,Merek Barang :OPRAStatus :Agen Tunggal,"Gas Turbine Genset OP16 Seri-3A, 3B dan 3C (Product dan Spare part)",PT PERTAMINA Hulu Energy sub Holding (Perusahaan Minyak dan Gas Milik Negara) di Indonesia
103,GAYA MAKMUR TRACTORSPerseroan Terbatas (PT)Email :import@gmtractors.net,"Merek Barang :WIRTGEN, VOGELE, HAMM, KLEEMANN, BENNINGHOVENStatus :Distributor Tunggal","WIRTGEN : Cold Milling Machines, Soil Stabilizers, Cold Recyclers, Slipform Pavers, Surface Miners, Streumaster Machines; VOGELE : Tracked Pavers, Wheeled Pavers, Pavers with Spray Jet Module, Slope Pavers, Paver for Binder Course, Mobile Feeders, Screeds; HAMM : Compactors (Single Drums), Tandem Rollers, Static Rollers, Pneumatic Tyre Rollers. KLEEMANN : Mobile Jaw Crushers, Mobile Impact Crushers, Mobile Screens, Machine Components (Crushers,screens,feeders etc); BENNINGHOVEN : Asphalt Mixing Plants, Mixed Material Storage Silos, Additive System, Bitumen Storage Systems, Bitumen Modification Plants, Asphalt Recycling Plant, Asphalt Recycling Granulators, Mastic Asphalt Plants, Cold Asphalt Mixing Plants, Sand Drying Plants, Steel Constructions, Asphalt Components like Process Control Systems, Burners, Filters, etc; CIBER : Hot Mix Asphalt Plants; Spare parts and accessories",INDONESIA
104,BATARA CEMERLANG INDONESIAPerseroan Terbatas (PT)Email :bataracemerlang@gmail.com,Merek Barang :DJTStatus :Distributor,Alat Peraga Pendidikan,Indonesia
105,MITRA ATLAS NUSANTARAPerseroan Terbatas (PT)Email :support@manusantara.com,Merek Barang :ATLAS COPCOStatus :Distributor,"Portable Air Compressors, Industrial & Onsite Generators, Light Towers, Dewatering & Wellpoint Pumps, Handheld Tools",Indonesia
106,LEINTEC SOLUSI INDONESIAPerseroan Terbatas (PT)Email :erry@leintecsolusiindonesia.com,Merek Barang :CPIStatus :Agen Tunggal,CPI  Synthetic Lubricant Oils  & Solest  Refrigerant  Lubricant,seluruh Indonesia
107,IMECO INTER SARANAPerseroan Terbatas (PT)Email :imeco@imeco.co.id,Merek Barang :SMITHStatus :Distributor,"DRILL BITS : PDC (Polycrystalline Diamond Compact) Bits, IMPREG (Impregnated) Bits, Milled Tooth, TCI (Tungsten Caribide Insert), Accessories : Nozzles, Bit Breakers, Ring Gages.",INDONESIA
108,ARTAMAS PRIMA DINAMIKAPerseroan Terbatas (PT)Email :artamasprima.pt@gmail.com,"Merek Barang :BAND-IT, BAND-IT Jr, CENTER PUNCH, ULTRA-LOK, BAND-FAST, COLOR-IT, TIE-LOK, BALL-LOKT, BALL-LOK, BAND-IT TIES, MULTI-LOKStatus :Distributor","BAND FAST, CABLE CLAMPS",Indonesia exclude Automotive Customers and Industrial Customers
109,PANCARAN BERKAH PRESISI INDONESIAPerseroan Terbatas (PT)Email :pbpipt@gmail.com,Merek Barang :KTStatus :Distributor Tunggal,Oil Tank Truck Accessories and Radiators,INDONESIA
110,PROTEKNIK UTAMAPerseroan Terbatas (PT)Email :info@proteknikutama.com,Merek Barang :DUGStatus :Distributor Tunggal,Seismic Interpretation Software DUG Insight and Processing Software,Indonesia
111,KUARTA PUTRA PRATAMAPerseroan Terbatas (PT)Email :umum@kuartaputra.co.id,Merek Barang :PLPStatus :Distributor,"T/L & S/S Insulator String Set, Line/Wire Fitting, Hardware Accessories, HV Connector, Coyote Joint Box",INDONESIA
112,BERKAH TEKNIK PROVIDERPerseroan Terbatas (PT)Email :berkahteknikprovider2020@gmail.com,Merek Barang :VIP SOLAR ENERGYStatus :Agen,SOLAR PANEL  (PANEL SURYA)  HYBRID SYSTEM,indonesia
113,PERUSAHAAN PERSEROAN (PERSERO) PT. LEN INDUSTRIPerseroan Terbatas (PT)Email :legal@len.co.id,"Merek Barang :Top SKy - Thales, THALES Italia, THALES CIVIL ATC RADARStatus :Agen","ATC, AIM, AHMS, Flow Manager, SilumationProcurment and Replacemnet of ATM Facilities to modernize ACC and APP Service  facilities, Navaids Equipment Procurment (ILS, DME, CVOR, DVOR, TACAN), ADS-B Ground Station Procurment, CIVIL ATC Radar Procurment (PSR and SSR)",Pemerintah Indonesia atau Otoritas Lokal dan LPPNPI
114,HIGH VOLT TECHNOLOGYPerseroan Terbatas (PT)Email :hendra.saragih@highvolt-technology.com,Merek Barang :DILOStatus :Agen Tunggal,"HD (High Pressure Unions), V (Valves, Couplings and Unions for the construction of SF6-switchgear), SG/MG (SF6-service-and maintenance devices / measuring devices for SF6-gas).",DI SELURUH INDONESIA
115,SINAR FAJAR SEJATIPerseroan Terbatas (PT)Email :info@sinarfs.com,Merek Barang :ESCHBACHStatus :Distributor,"ESCHBACH SYNTHETIC SPECIAL 500, ESCHBACH SYNTHETIC POLYDUR RHINO, ESCHBACH SYNTHETIC POLYDUR RHINO SPECIAL, ESCHBACH SYNTHETIC HILCODUR, ESCHBACH DRAGON",Di seluruh wilayah Republik Indonesia.
116,SAMAFITROPerseroan Terbatas (PT)Email :samafitro@samafitro.co.id,Merek Barang :CANONStatus :Distributor,"Canon Single Function lnkjet Printer (hanya untuk seri Maxify  dan SeriWG tertentu), Canon Multifunction lnkjet Printer  (hanya untuk seri Maxify dan SeriWG tertentu), Canon lnkjet  Printer Consumables (hanya untuk seri Maxify dan SeriWG  tertentu), Canon Presenter, Canon Laser Beam Printer (Seri  MAHE dan Color, Canon Multifunction Laser Printer (tidak  termasuk imageClass MF3010), Canon Laser Fax Machine,  Barang habis pakai Canon SS Toner Cartridge, Canon  Business Multifunction Device/ Copier, Canon Document  Solutions, Canon Remote Camera, Smart Workspace  Solutions, Canon Commercial lnkjet Printer (Dreamlabo),  Canon Production Toner Cut Sheet System (seri  imagePRESS, seri iRA8000, seri varioPrint DP Line &  VarioPrint 6000), Canon Large Format Printer, Canon  Production Continuous Feed System,Canon Production lnkjet  Cut Sheet System, Canon PapeR",Di seluruh wilayah Indonesia
